R FLEXOR CARPI RADIALIS: EMG 4 [V],R EXTENSOR DIGITORUM: EMG 5 [V],R IMU Wrist: ACC.X 6 [g],R IMU Wrist: ACC.Y 6 [g],R IMU Wrist: ACC.Z 6 [g],R IMU Wrist: GYRO.X 6 [°/s],R IMU Wrist: GYRO.Y 6 [°/s],R IMU Wrist: GYRO.Z 6 [°/s]
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000,0.00000e+000
